"Read Details",查看詳情,module,Magento_AdminNotification
"Mark as Read",標記為已讀,module,Magento_AdminNotification
"Are you sure?",您確定嗎？ ,module,Magento_AdminNotification
Remove,刪除,module,Magento_AdminNotification
"Messages Inbox",消息收件箱,module,Magento_AdminNotification
"You have %1 new system messages","你有 %1 新系統消息",module,Magento_AdminNotification
"You have %1 new system message","你有 %1 新系統消息",module,Magento_AdminNotification
"Incoming Message",傳入消息,module,Magento_AdminNotification
close,關閉,module,Magento_AdminNotification
Notifications,通知消息,module,Magento_AdminNotification
"The message has been marked as Read.",郵件已標記為已讀。 ,module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.",我們不能因為一個錯誤標記為已讀通知。 ,module,Magento_AdminNotification
"Please select messages.",請選擇郵件。 ,module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","共有 %1 條記錄已標記為已讀。",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","共有 %1 條記錄已被刪除。",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.",由於發生錯誤，我們不能刪除的消息。 ,module,Magento_AdminNotification
"The message has been removed.",該消息已被刪除。 ,module,Magento_AdminNotification
"1 Hour","1 小時",module,Magento_AdminNotification
"2 Hours","2 個小時",module,Magento_AdminNotification
"6 Hours","6 個小時",module,Magento_AdminNotification
"12 Hours","12 個小時",module,Magento_AdminNotification
"24 Hours","24 小時",module,Magento_AdminNotification
critical,危急,module,Magento_AdminNotification
major,重大的,module,Magento_AdminNotification
minor,次要,module,Magento_AdminNotification
notice,通知,module,Magento_AdminNotification
"Wrong message type",錯誤消息類型,module,Magento_AdminNotification
"Wrong notification ID specified.","指定的錯誤通知 ID。",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a >.","{{base_url}} 不建議在生產環境中使用申報基地不安全'' URL / 基地安全網址。我們強烈建議您更改此值在你的Magento '' <a href=""%1 ""> 配置</a>。",module,Magento_AdminNotification
